"block","treatment","species.x","species.y","crop.biomass.g.per.sq.m","weed.biomass.g.per.sq.m"
"1","I","Weeds","Arugula",27.68,321.68
"2","I","Weeds","Arugula",22.76,38.2
"3","I","Weeds","Arugula",41.24,71.56
"4","I","Weeds","Arugula",27.68,253.84
"1","E","Weeds","Broadleaf mustard",147.64,60.28
"2","E","Weeds","Broadleaf mustard",69.84,242.96
"3","E","Weeds","Broadleaf mustard",63.24,50.2
"4","E","Weeds","Broadleaf mustard",80.88,67.24
"1","G","Weeds","Brown mustard",132.44,74.12
"2","G","Weeds","Brown mustard",113.88,0
"3","G","Weeds","Brown mustard",89.92,45.52
"4","G","Weeds","Brown mustard",72.44,188.68
"1","D","Weeds","Collard",89.08,59.6
"2","D","Weeds","Collard",123.72,0
"3","D","Weeds","Collard",20.84,38.64
"4","D","Weeds","Collard",132.76,46.76
"1","K","Weeds","Kale",55.84,231.32
"2","K","Weeds","Kale",34.8,42.96
"3","K","Weeds","Kale",10.92,154.92
"4","K","Weeds","Kale",53.8,92.96
"1","F","Weeds","Mustard",132.84,38.84
"2","F","Weeds","Mustard",108.44,37.92
"3","F","Weeds","Mustard",67.32,60.52
"4","F","Weeds","Mustard",104.36,98.76
"1","N","Control","None",0,118.44
"2","N","Control","None",0,164.14
"3","N","Control","None",0,145.92
"4","N","Control","None",0,169.48
"1","H","Weeds","Oriental mustard",159.64,49.2
"2","H","Weeds","Oriental mustard",69.96,73.36
"3","H","Weeds","Oriental mustard",150.96,12.28
"4","H","Weeds","Oriental mustard",161.8,40.48
"1","A","Weeds","Radish",47.76,123.76
"2","A","Weeds","Radish",43.56,84.04
"3","A","Weeds","Radish",36.28,118
"4","A","Weeds","Radish",37.52,280.4
"1","C","Weeds","Rapeseed",0,123.52
"2","C","Weeds","Rapeseed",10.52,148.24
"3","C","Weeds","Rapeseed",0,35.92
"4","C","Weeds","Rapeseed",42,69.52
"1","L","Weeds","Red clover",24.64,109
"2","L","Weeds","Red clover",0.319999999999993,34
"3","L","Weeds","Red clover",1.23999999999999,55.36
"4","L","Weeds","Red clover",6.36,89.16
"1","B","Weeds","Turnip",74.36,57.08
"2","B","Weeds","Turnip",58.16,69.16
"3","B","Weeds","Turnip",13.2,105.84
"4","B","Weeds","Turnip",39.8,313.48
